plugin,unique_ips,days_observed,total_records,ips_per_day
post-smtp,190,92,9865,2.07
loginizer,136,77,319,1.77
litespeed-cache,135,74,314,1.82
seo-by-rank-math,135,71,344,1.9
wp-stats-manager,134,76,234,1.76
duplicator,115,71,217,1.62
better-search-replace,111,68,225,1.63
elementor,107,75,241,1.43
2-click-socialmedia-buttons,101,61,234,1.66
wp-fastest-cache,99,68,248,1.46
wordpress-database-reset,98,64,156,1.53
wp-statistics,97,67,320,1.45
all-in-one-wp-migration,95,62,171,1.53
w3-total-cache,88,61,130,1.44
wps-hide-login,87,65,183,1.34
wp-file-manager,83,64,138,1.3
woocommerce,82,62,124,1.32
wordpress-seo,82,61,123,1.34
import-xml-feed,80,57,224,1.4
pie-register,80,52,227,1.54
essential-addons-for-elementor-lite,79,63,145,1.25
wordfence,78,65,151,1.2
akismet,76,58,103,1.31
really-simple-ssl,74,61,121,1.21
advanced-custom-fields,73,56,93,1.3
cleantalk-spam-protect,73,53,212,1.38
optinmonster,73,60,114,1.22
updraftplus,73,60,116,1.22
iwp-client,72,59,112,1.22
all-in-one-wp-security-and-firewall,71,58,96,1.22
autoptimize,71,56,94,1.27
limit-login-attempts-reloaded,71,58,109,1.22
redux-framework,71,60,112,1.18
complianz-gdpr,70,55,92,1.27
insert-headers-and-footers,70,57,109,1.23
sg-security,70,57,110,1.23
total-donations,70,50,214,1.4
wp-super-cache,70,59,114,1.19
cryptocurrency-widgets-pack,69,64,220,1.08
disable-comments,69,56,93,1.23
my-calendar,69,47,190,1.47
ultimate-addons-for-gutenberg,69,59,111,1.17
wpforms-lite,69,59,111,1.17
google-site-kit,68,57,93,1.19
hostinger,68,57,107,1.19
wc-multivendor-marketplace,68,50,191,1.36
coming-soon,67,56,92,1.2
duplicate-page,67,56,92,1.2
duplicate-post,67,55,90,1.22
envato-elements,67,56,93,1.2
media-library-assistant,67,50,204,1.34
redirection,67,58,110,1.16
wp-optimize,67,60,113,1.12
contact-form-7,66,60,97,1.1
header-footer-elementor,66,56,104,1.18
jetpack,66,59,113,1.12
mailchimp-for-wp,66,56,109,1.18
wp-user-avatar,66,57,109,1.16
adminimize,65,51,160,1.27
advanced-text-widget,65,54,298,1.2
all-in-one-seo-pack,65,56,92,1.16
astra-sites,65,55,93,1.18
better-wp-security,65,54,91,1.2
code-snippets,65,55,93,1.18
google-analytics-for-wordpress,65,55,90,1.18
smart-slider-3,65,57,110,1.14
svg-support,65,58,110,1.12
easy-digital-downloads,64,46,198,1.39
ewww-image-optimizer,64,56,93,1.14
wp-time-capsule,63,50,85,1.26
masterstudy-lms-learning-management-system,62,48,75,1.29
infusionsoft,60,52,131,1.15
visualizer,60,46,182,1.3
ultimate-member,58,45,192,1.29
backup-backup,57,47,178,1.21
jeg-elementor-kit,57,54,216,1.06
skysa-official,57,48,132,1.19
woocommerce-abandoned-cart,57,45,204,1.27
clickdesk-live-support-chat,56,45,133,1.24
flash-album-gallery,56,48,135,1.17
sniplets,56,47,132,1.19
uploader,56,47,125,1.19
essential-blocks,55,44,181,1.25
wp-integrator,55,42,120,1.31
all-in-one-event-calendar,54,43,126,1.26
drag-and-drop-multiple-file-upload-for-woocommerce,54,34,101,1.59
fluentform,54,39,177,1.38
wp-central,54,45,67,1.2
wp-facethumb,54,46,124,1.17
canto,53,41,114,1.29
download-monitor,53,44,125,1.2
fancy-product-designer,53,47,68,1.13
formidable,53,45,156,1.18
kingcomposer,53,45,68,1.18
mf-gig-calendar,52,40,121,1.3
wpschoolpress,52,45,67,1.16
bbpress,51,45,66,1.13
category-grid-view-gallery,51,45,118,1.13
dm-albums,51,33,109,1.55
e-search,51,45,115,1.13
featurific-for-wordpress,51,43,128,1.19
trafficanalyzer,51,38,115,1.34
wp-video-lightbox,51,45,68,1.13
mstore-api,50,44,160,1.14
hdw-tube,49,40,113,1.23
movies,49,39,103,1.26
ultimate-weather-plugin,49,37,102,1.32
gift-voucher,48,41,157,1.17
hypercomments,48,39,158,1.23
church-admin,47,43,105,1.09
sourceafrica,47,41,105,1.15
wp-meta-seo,47,40,110,1.18
activehelper-livehelp,46,43,105,1.07
aviary-image-editor-add-on-for-gravity-forms,46,33,88,1.39
form-maker,46,40,140,1.15
hero-maps-pro,46,39,103,1.18
stacks-mobile-app-builder,46,38,151,1.21
wp-mobile-detector,46,33,89,1.39
indexisto,45,45,106,1
social-warfare,45,37,98,1.22
download-manager,44,32,99,1.38
photoxhibit,44,41,101,1.07
wp-mailster,44,38,100,1.16
yuzo-related-post,44,33,102,1.33
event-espresso-core-reg,43,35,96,1.23
parsi-font,43,41,103,1.05
stop-spammer-registrations-plugin,43,38,99,1.13
ajax-random-post,42,42,104,1
amty-thumb-recent-post,42,38,99,1.11
jsmol2wp,42,37,98,1.14
navis-documentcloud,42,40,102,1.05
nd-booking,42,35,92,1.2
the-plus-addons-for-elementor-page-builder,42,39,139,1.08
tidio-form,42,39,98,1.08
wp-simple-firewall,42,38,50,1.11
wp-symposium,42,39,99,1.08
admin-font-editor,41,37,96,1.11
anti-plagiarism,41,36,97,1.14
crm-perks-forms,41,40,113,1.02
daggerhart-openid-connect-generic,41,39,98,1.05
forget-about-shortcode-buttons,41,38,97,1.08
raygun4wp,41,37,97,1.11
tidio-gallery,41,37,95,1.11
defa-online-image-protector,40,37,95,1.08
drag-and-drop-multiple-file-upload-contact-form-7,40,34,147,1.18
enhanced-tooltipglossary,40,38,98,1.05
giveasap,40,41,101,0.98
new-year-firework,40,39,98,1.03
s3-video,40,34,96,1.18
ultimate-faqs,40,35,94,1.14
wpsolr-search-engine,40,37,95,1.08
embed-swagger,39,34,96,1.15
whizz,39,35,92,1.11
simpel-reserveren,38,36,95,1.06
site-offline,38,39,98,0.97
feed-them-social,37,36,95,1.03
page-layout-builder,37,37,95,1
simple-membership,35,35,92,1
smart-manager-for-wp-e-commerce,35,33,68,1.06
uix-shortcodes,35,31,134,1.13
insert-php,34,35,150,0.97
siteguard,34,31,111,1.1
checklist,32,28,80,1.14
jh-404-logger,32,29,72,1.1
nextgen-gallery,30,31,90,0.97
wpcf7-redirect,30,28,60,1.07
woocommerce-payments,29,29,80,1
forminator,28,26,42,1.08
popup-maker,28,27,57,1.04
fluent-smtp,27,25,41,1.08
the-events-calendar,27,26,57,1.04
user-meta,27,23,73,1.17
event-monster,26,22,72,1.18
protect-wp-admin,24,21,67,1.14
cookie-law-info,22,22,34,1
custom-tables,22,25,47,0.88
knews,22,25,46,0.88
royal-elementor-addons,22,27,60,0.81
slideshow-jquery-image-gallery,22,25,49,0.88
under-construction-maintenance-mode,22,25,48,0.88
ai-engine,21,16,50,1.31
give,21,24,41,0.88
securimage-wp,21,24,46,0.88
wp-seopress,21,25,48,0.84
backwpup,19,20,30,0.95
cekidot,19,7,28,2.71
ninja-forms,19,23,46,0.83
really-simple-captcha,19,24,48,0.79
stops-core-theme-and-plugin-updates,19,23,46,0.83
user-role-editor,19,23,46,0.83
wp-event-solution,19,15,25,1.27
wp-mail-logging,19,23,45,0.83
wp-reviews-plugin-for-google,19,23,46,0.83
wpvivid-backuprestore,19,23,44,0.83
ga-google-analytics,18,21,29,0.86
mainwp-child,18,22,45,0.82
metform,18,22,46,0.82
official-facebook-pixel,18,22,45,0.82
pdf-embedder,18,22,46,0.82
pinterest-for-woocommerce,18,22,45,0.82
pixelyoursite,18,22,45,0.82
regenerate-thumbnails,18,23,47,0.78
sg-cachepress,18,22,46,0.82
sticky-header-effects-for-elementor,18,22,45,0.82
sucuri-scanner,18,22,46,0.82
templately,18,22,45,0.82
tinymce-advanced,18,22,45,0.82
under-construction-page,18,22,45,0.82
userfeedback-lite,18,22,45,0.82
webp-converter-for-media,18,22,45,0.82
woo-checkout-field-editor-pro,18,22,44,0.82
worker,18,22,45,0.82
wp-crontrol,18,22,45,0.82
wp-google-maps,18,22,47,0.82
wp-maintenance-mode,18,22,45,0.82
wp-multibyte-patch,18,22,45,0.82
wp-pagenavi,18,22,45,0.82
wp-reset,18,22,45,0.82
wp-rollback,18,22,45,0.82
cloudflare,17,20,28,0.85
coblocks,17,20,28,0.85
easy-wp-smtp,17,21,43,0.81
font-awesome,17,20,28,0.85
jetpack-boost,17,21,45,0.81
kadence-blocks,17,21,45,0.81
mailpoet,17,21,45,0.81
maintenance,17,21,44,0.81
malcare-security,17,21,45,0.81
megamenu,17,21,45,0.81
members,17,21,45,0.81
meta-box,17,21,45,0.81
ml-slider,17,21,45,0.81
newsletter,17,21,45,0.81
nextend-facebook-connect,17,21,45,0.81
one-click-demo-import,17,21,45,0.81
otter-blocks,17,21,44,0.81
password-protected,17,22,45,0.77
safe-svg,17,21,45,0.81
so-widgets-bundle,17,21,44,0.81
taxonomy-terms-order,17,21,44,0.81
translatepress-multilingual,17,21,44,0.81
webp-express,17,21,44,0.81
woo-cart-abandonment-recovery,17,21,44,0.81
woo-variation-swatches,17,21,44,0.81
wordpress-importer,17,21,44,0.81
wp-mail-smtp,17,21,44,0.81
wp-smushit,17,21,43,0.81
wpcf7-recaptcha,17,21,44,0.81
"*"",""",16,12,16,1.33
amp,16,19,27,0.84
antispam-bee,16,19,27,0.84
broken-link-checker,16,19,27,0.84
photo-gallery,16,20,43,0.8
php-compatibility-checker,16,20,42,0.8
polylang,16,20,43,0.8
popup-builder,16,20,43,0.8
premium-addons-for-elementor,16,20,43,0.8
pretty-link,16,20,44,0.8
simple-custom-post-order,16,20,44,0.8
simple-history,16,20,43,0.8
simple-page-ordering,16,20,43,0.8
speedycache,16,20,43,0.8
tablepress,16,20,44,0.8
themeisle-companion,16,20,44,0.8
velvet-blues-update-urls,16,20,43,0.8
woo-inpost,16,20,43,0.8
woocommerce-gateway-paypal-express-checkout,16,20,43,0.8
woocommerce-legacy-rest-api,16,20,43,0.8
woocommerce-pdf-invoices-packing-slips,16,20,43,0.8
woocommerce-services,16,20,43,0.8
wp-registration,16,14,22,1.14
yith-woocommerce-wishlist,16,20,43,0.8
ad-inserter,15,18,25,0.83
add-to-any,15,18,26,0.83
admin-menu-editor,15,18,24,0.83
aryo-activity-log,15,18,26,0.83
breadcrumb-navxt,15,18,26,0.83
classic-editor,15,18,26,0.83
cmb2,15,18,26,0.83
contact-form-7-honeypot,15,18,26,0.83
contact-form-cfdb7,15,18,26,0.83
cookie-notice,15,18,26,0.83
copy-delete-posts,15,18,26,0.83
creame-whatsapp-me,15,18,26,0.83
creative-mail-by-constant-contact,15,18,26,0.83
custom-css-js,15,18,25,0.83
custom-fonts,15,18,26,0.83
custom-post-type-ui,15,18,26,0.83
disable-gutenberg,15,18,26,0.83
duracelltomi-google-tag-manager,15,18,26,0.83
easy-fancybox,15,18,26,0.83
easy-google-fonts,15,18,26,0.83
easy-table-of-contents,15,18,26,0.83
elementskit-lite,15,18,26,0.83
enable-media-replace,15,18,26,0.83
extendify,15,18,26,0.83
facebook-for-woocommerce,15,18,26,0.83
fast-indexing-api,15,18,26,0.83
favicon-by-realfavicongenerator,15,18,26,0.83
flamingo,15,18,26,0.83
gdpr-cookie-compliance,15,18,26,0.83
google-analytics-dashboard-for-wp,15,18,26,0.83
google-listings-and-ads,15,18,26,0.83
google-sitemap-generator,15,19,28,0.79
gtranslate,15,19,30,0.79
gutenberg,15,19,37,0.79
happy-elementor-addons,15,19,36,0.79
header-and-footer-scripts,15,19,37,0.79
header-footer,15,19,38,0.79
header-footer-code-manager,15,19,38,0.79
hunk-companion,15,19,43,0.79
image-optimization,15,19,43,0.79
imagify,15,19,43,0.79
instagram-feed,15,19,43,0.79
intuitive-custom-post-order,15,19,43,0.79
kirki,15,19,42,0.79
leadin,15,19,43,0.79
limit-login-attempts,15,19,42,0.79
loco-translate,15,19,43,0.79
loginpress,15,19,42,0.79
mailchimp-for-woocommerce,15,19,43,0.79
ocean-extra,15,19,41,0.79
post-types-order,15,19,43,0.79
shortcodes-ultimate,15,19,43,0.79
shortpixel-image-optimiser,15,19,43,0.79
siteorigin-panels,15,19,42,0.79
ssl-insecure-content-fixer,15,19,42,0.79
table-of-contents-plus,15,19,42,0.79
unyson,15,19,42,0.79
use-any-font,15,19,42,0.79
widget-importer-exporter,15,19,42,0.79
woocommerce-gateway-stripe,15,19,42,0.79
woocommerce-paypal-payments,15,19,42,0.79
woosidebars,15,19,42,0.79
wp-migrate-db,15,19,42,0.79
wp-sitemap-page,15,19,42,0.79
wp-ticket,15,17,37,0.88
all-404-redirect-to-homepage,14,17,25,0.82
black-studio-tinymce-widget,14,17,25,0.82
breeze,14,17,25,0.82
burst-statistics,14,17,25,0.82
chaty,14,17,25,0.82
child-theme-configurator,14,17,25,0.82
classic-widgets,14,17,25,0.82
click-to-chat-for-whatsapp,14,17,25,0.82
flexmls-idx,14,17,25,0.82
force-regenerate-thumbnails,14,17,25,0.82
health-check,14,18,38,0.78
hello-dolly,14,18,38,0.78
host-webfonts-local,14,18,39,0.78
imsanity,14,18,42,0.78
inpost-for-woocommerce,14,18,42,0.78
yith-woocommerce-compare,14,18,40,0.78
astra-widgets,13,16,24,0.81
backuply,13,16,24,0.81
acf-extended,12,7,16,1.71
podlove-podcasting-plugin-for-wordpress,12,12,15,1
suretriggers,12,9,17,1.33
wpcargo,12,9,15,1.33
king-addons,11,7,14,1.57
quiz-master-next,11,8,14,1.38
contact-form-entries,10,8,18,1.25
hide-my-wp,10,6,18,1.67
sitepress-multilingual-cms,10,8,14,1.25
ti-woocommerce-wishlist,10,7,13,1.43
wp-database-backup,10,7,13,1.43
wp-pipes,10,7,13,1.43
wp-server-stats,10,7,13,1.43
wpcom-member,10,7,13,1.43
ad-invalid-click-protector,9,6,12,1.5
afp,9,6,12,1.5
ait-csv-import-export,9,6,12,1.5
asset-manager,9,6,12,1.5
b-slider,9,6,12,1.5
blaze-widget,9,6,12,1.5
britetechs-companion,9,6,12,1.5
chart-builder,9,6,12,1.5
cm-email-blacklist,9,6,12,1.5
copymatic,9,6,12,1.5
database-toolset,9,6,12,1.5
debug-tool,9,6,12,1.5
easy-facebook-likebox,9,6,12,1.5
epoll-wp-voting,9,6,12,1.5
everest-forms,9,6,9,1.5
exclusive-content-password-protect,9,6,12,1.5
flynax-bridge,9,6,12,1.5
free-wp-booster-by-ads-pro,9,6,12,1.5
geo-my-wp,9,6,12,1.5
ghl-wizard,9,6,12,1.5
gotmls,9,6,12,1.5
greenshift-animation-and-page-builder-blocks,9,6,12,1.5
import-export-with-custom-rest-api,9,6,12,1.5
integrate-google-drive,9,6,12,1.5
integration-for-contact-form-7-and-google-sheets,9,6,12,1.5
integration-for-contact-form-7-and-pipedrive,9,6,12,1.5
loginwp-pro,9,6,12,1.5
my-geo-posts-free,9,6,12,1.5
paid-member-subscriptions,9,6,12,1.5
pardakht-delkhah,9,6,12,1.5
partners,9,6,12,1.5
pods,9,6,12,1.5
popup-by-supsystic,9,6,12,1.5
powerpress,9,6,12,1.5
profile-builder,9,6,12,1.5
propertyhive,9,6,12,1.5
real-time-auto-find-and-replace,9,4,9,2.25
rometheme-for-elementor,9,6,12,1.5
s2member,9,6,12,1.5
simple-comment-editing,9,6,12,1.5
simple-dashboard,9,6,12,1.5
simple-file-list,9,6,12,1.5
simple-payment,9,6,12,1.5
simply-show-hooks,9,6,12,1.5
smart-auto-upload-images,9,4,9,2.25
tumult-hype-animations,9,6,12,1.5
twenty20,9,6,11,1.5
wc-shipos-delivery,9,6,12,1.5
woo-order-export-lite,9,6,12,1.5
woocommerce-point-of-sale,9,6,12,1.5
wp-ajax-random-posts,9,6,12,1.5
wp-db-backup,9,7,60,1.29
wp-prayer,9,6,12,1.5
wrapper-link-elementor,9,6,12,1.5
course-booking-system,8,3,8,2.67
facebook-auto-publish,8,3,8,2.67
seo-optimized-images,8,6,11,1.33
vrpconnector,8,6,9,1.33
easy-upload-files-during-checkout,7,5,9,1.4
order-delivery-date,7,9,10,0.78
rss-feed-post-generator-echo,7,8,13,0.88
searchpro,7,4,7,1.75
uni-woo-custom-product-options-premium,7,9,12,0.78
userplus,7,5,7,1.4
wp-marketing-automations,7,9,11,0.78
WooCommerce-Multi-Locations-Inventory-Management,6,7,9,0.86
booking,6,4,6,1.5
contact-form-7-multi-step-addon,6,4,6,1.5
eventprime-event-calendar-management,6,2,6,3
excel-like-price-change-for-woocommerce-and-wp-e-commerce-light,6,6,6,1
gutenkit-blocks-addon,6,10,26,0.6
ht-contactform,6,8,9,0.75
html-forms,6,2,6,3
insert-headers-and-footers-script,6,2,6,3
thumbs-rating,6,5,6,1.2
wicked-folders,6,5,7,1.2
acf-quickedit-fields,5,5,6,1
auth0,5,2,5,2.5
mangboard,5,2,5,2.5
user-registration,5,7,10,0.71
acf-frontend-form-element,4,3,4,1.33
chatbot-chatgpt,4,3,4,1.33
flex-qr-code-generator,4,4,7,1
instawp-connect,4,5,12,0.8
wp-limit-failed-login-attempts,4,4,4,1
advanced-custom-fields-pro,3,3,3,1
file-provider,3,2,3,1.5
jobboardwp,3,3,4,1
json-api-user,3,5,9,0.6
latepoint,3,3,3,1
mainwp-vuln,3,3,6,1
user-registration-pro,3,3,3,1
waveplayer,3,2,3,1.5
wc-fields-factory,3,3,3,1
woocommerce-products-filter,3,3,8,1
woocommerce-simple-registration,3,3,3,1
wp-automatic,3,4,6,0.75
wp-file-upload,3,3,7,1
wp-job-portal,3,3,4,1
wp-mlm,3,3,3,1
wp-post-author,3,3,3,1
"*%22,%22",2,2,2,1
activedemand,2,2,2,1
add-hierarchy-parent-to-post,2,5,5,0.4
advanced-import,2,2,2,1
alphabetic-pagination,2,2,2,1
armember-membership,2,2,2,1
baiduseo,2,2,2,1
bertha-ai-free,2,2,2,1
booking-calendar,2,2,2,1
calendar,2,2,2,1
capabilities-pro,2,2,2,1
capability-manager-enhanced,2,2,2,1
csv-to-html,2,2,2,1
custom-registration-form-builder-with-submission-manager,2,2,2,1
directorist,2,2,2,1
edwiser-bridge,2,2,2,1
email-posts-to-subscribers,2,2,2,1
emails-verification-for-woocommerce,2,2,2,1
events-manager,2,2,2,1
extensive-vc-addon,2,2,2,1
file-away,2,2,2,1
ht-mega-for-elementor,2,2,2,1
image-hover-effects-ultimate,2,2,2,1
js-support-ticket,2,2,4,1
jupiterx-core,2,2,2,1
k-elements,2,2,2,1
keydatas,2,2,2,1
learning-management-system,2,2,2,1
learnpress,2,2,2,1
login-as-customer-or-user,2,2,2,1
membership-for-woocommerce,2,2,2,1
miniorange-2-factor-authentication,2,2,2,1
miniorange-malware-protection,2,2,2,1
n-media-woocommerce-checkout-fields,2,2,2,1
nd-donations,2,2,2,1
nd-learning,2,2,2,1
nd-restaurant-reservations,2,2,2,1
nd-shortcodes,2,2,2,1
opal-estate-pro,2,1,3,2
phppoet-checkout-fields,2,2,2,1
pie-register-premium,2,2,2,1
post-grid,2,2,2,1
really-simple-ssl-pro,2,2,2,1
really-simple-ssl-pro-multisite,2,2,2,1
rencontre,2,2,2,1
security-malware-firewall,2,2,2,1
shortcode-addons,2,2,2,1
simply-schedule-appointments,2,2,2,1
sitemap-by-click5,2,2,2,1
sneeit-framework,2,1,3,2
startklar-elmentor-forms-extwidgets,2,2,2,1
themegrill-demo-importer,2,2,2,1
tradedoubler-affiliate-tracker,2,2,2,1
udraw,2,2,2,1
ulisting,2,2,2,1
user-verification,2,2,2,1
vc-tabs,2,2,2,1
videowhisper-live-streaming-integration,2,2,2,1
wholesale-market-for-woocommerce,2,2,2,1
wocommerce-payments,2,3,8,0.67
woo-product-table,2,2,2,1
woo-refund-and-exchange-lite,2,2,2,1
woocommerce-checkout-manager,2,2,2,1
woocommerce-jetpack,2,2,2,1
woolentor-addons,2,2,2,1
wp-email-capture,2,2,2,1
wp-performance-optimizer,2,1,2,2
wp-recall,2,2,2,1
wp-sms,2,2,2,1
wp-upg,2,2,2,1
yith-woocommerce-gift-cards-premium,2,2,2,1
zendrop-dropshipping-and-fulfillment,2,2,2,1
zm-ajax-login-register,2,2,2,1
12-step-meeting-list,1,1,1,1
123contactform-for-wordpress,1,1,1,1
aawp,1,1,1,1
acf-extended-pro,1,1,1,1
adsense-plugin,1,1,1,1
ai-engine-pro,1,1,1,1
all-in-one-video-gallery,1,1,1,1
allwebmenus-wordpress-menu-plugin,1,1,1,1
ameliabooking,1,1,1,1
angwp,1,1,1,1
another-wordpress-classifieds-plugin,1,1,1,1
ar-for-wordpress,1,1,1,1
blaze-slide-show-for-wordpress,1,1,1,1
blocks,1,1,1,1
branda-white-labeling,1,1,1,1
bws-google-analytics,1,1,1,1
bws-google-maps,1,1,1,1
bws-linkedin,1,1,1,1
bws-pinterest,1,1,1,1
bws-smtp,1,1,1,1
bws-testimonials,1,1,1,1
checkout-mestres-wp,1,1,1,1
cmp-coming-soon-maintenance,1,2,2,0.5
computer-repair-shop,1,2,2,0.5
contact-form-multi,1,1,1,1
contact-form-plugin,1,1,1,1
contact-form-to-db,1,1,1,1
cpi-wp-migration,1,1,1,1
csv2wpec-coupon,1,1,1,1
custom-admin-page,1,1,1,1
custom-search-plugin,1,1,1,1
deans-fckeditor-with-pwwangs-code-plugin-for-wordpress,1,1,1,1
demo-my-wordpress,1,1,1,1
depicter,1,1,1,1
document-emberdder,1,1,1,1
dynamic-font-replacement-4wp,1,1,1,1
ecab-taxi-booking-manager,1,1,1,1
error-log-viewer,1,1,1,1
file-manager,1,2,2,0.5
forumwp,1,1,1,1
hash-form,1,1,1,1
hc-custom-wp-admin-url,1,1,1,1
htaccess,1,1,1,1
html2wp,1,1,1,1
i-dump-iphone-to-wordpress-photo-uploader,1,1,1,1
indeed-wp-superbackup,1,1,1,1
jobwp,1,1,1,1
kubio,1,4,6,0.25
lim4wp,1,1,1,1
litespeed-cache-plugin,1,2,17,0.5
mailcwp,1,1,1,1
mainwp-file-uploader-extension,1,1,1,1
mainwp-links-manager-extension,1,1,1,1
monsters-editor-10-for-wp-super-edit,1,1,1,1
multimanager-wp,1,1,1,1
mw-wp-form,1,1,1,1
pagination,1,1,1,1
pdf-print,1,1,1,1
profitori,1,1,1,1
promobar,1,1,1,1
pwa-for-wp,1,1,1,1
rating-bws,1,1,1,1
realty,1,1,1,1
sender,1,1,1,1
simple-wp-events,1,1,1,1
social-buttons-pack,1,1,1,1
social-login-bws,1,1,1,1
starter-templates,1,1,1,1
store-toolkit-for-wp-e-commerce,1,1,1,1
subscriber,1,1,1,1
superlogoshowcase-wp,1,1,1,1
transposh-translation-filter-for-wordpress,1,1,1,1
twitter-plugin,1,1,1,1
updater,1,1,1,1
user-role,1,1,1,1
visitors-online,1,1,1,1
woof,1,1,2,1
wordpress-checkout,1,1,1,1
wordpress-ecommerce,1,1,1,1
wp-3dflick-slideshow,1,1,1,1
wp-advanced-search,1,1,1,1
wp-all-import,1,1,1,1
wp-business-intelligence-lite,1,1,1,1
wp-businessdirectory,1,1,1,1
wp-cleanfix,1,1,1,1
wp-clone-by-wp-academy,1,1,1,1
wp-curriculo-vitae,1,1,1,1
wp-directorybox-manager,1,1,1,1
wp-dropbox-dropins,1,1,1,1
wp-dummy-content-generator,1,1,1,1
wp-e-commerce-exporter,1,1,1,1
wp-easy-contact,1,1,1,1
wp-easy-events,1,1,1,1
wp-easycart,1,1,1,1
wp-editor,1,1,1,1
wp-file-uploader,1,1,1,1
wp-filebase,1,1,1,1
wp-filemanager,1,1,1,1
wp-foodbakery,1,1,1,1
wp-front-end-profile,1,1,1,1
wp-front-end-repository,1,1,1,1
wp-funnel-manager,1,1,1,1
wp-graphql,1,1,1,1
wp-homepage-slideshow,1,1,1,1
wp-hotel-booking,1,1,1,1
wp-image-news-slider,1,1,1,1
wp-insert,1,1,1,1
wp-job-board-pro,1,1,1,1
wp-job-manager,1,1,1,1
wp-jobhunt,1,1,1,1
wp-jobsearch,1,1,1,1
wp-levoslideshow,1,1,1,1
wp-live-chat-support,1,1,1,1
wp-live-chat-support-pro,1,1,1,1
wp-membership,1,1,1,1
wp-meta-data-filter-and-taxonomy-filter,1,1,1,1
wp-migrate-db-pro,1,1,1,1
wp-optimize-by-xtraffic,1,1,1,1
wp-pinterest-automatic,1,1,1,1
wp-post-frontend,1,1,1,1
wp-powerplaygallery,1,1,1,1
wp-propagator,1,1,1,1
wp-property,1,1,1,1
wp-query-console,1,1,1,1
wp-realestate-manager,1,1,1,1
wp-responsive-thumbnail-slider,1,1,1,1
wp-shop-original,1,1,1,1
wp-shopping-cart,1,1,1,1
wp-smart-import,1,1,1,1
wp-social,1,1,1,1
wp-support-plus-responsive-ticket-system,1,1,1,1
wp-syntax,1,1,1,1
wp-ulike-pro,1,1,1,1
wp-ultimate-csv-importer,1,1,1,1
wp-ultimate-email-marketer,1,1,1,1
wp-ultimate-exporter,1,1,1,1
wp-user-extra-fields,1,1,1,1
wp-users-masquerade,1,1,1,1
wp-wc-affiliate-program,1,1,1,1
wp-webhooks,1,1,1,1
wp_rokbox,1,1,1,1
wp_rokintroscroller,1,1,1,1
wp_roknewspager,1,1,1,1
wp_rokstories,1,1,1,1
wpbookit,1,1,1,1
wpbot-pro,1,1,1,1
wpc-shop-as-customer,1,1,1,1
wpcasa,1,1,1,1
wpdatatables,1,1,1,1
wpdiscuz,1,1,1,1
wpe-indoshipping,1,1,1,1
wpfunnels,1,1,1,1
wpgateway,1,1,1,1
wpgform,1,1,1,1
wpguppy-lite,1,1,1,1
wpmarketplace,1,1,1,1
wpo365-login,1,1,1,1
wpshop,1,1,1,1
wptouch,1,1,1,1
yayextra,1,1,1,1
yith-woocommerce-ajax-search,1,1,2,1
zendesk-help-center,1,1,1,1
